Open,Close,Volume,Low,High,daily_return,ma_7,ma_30,ma_90,ma_20,std_20,upper_band,lower_band,rsi_14,volatility_30
226.49099731445312,238.22900390625,30612100,222.65899658203125,242.1750030517578,0.04959644263664864,234.2847159249442,242.23656565348307,315.889677090115,227.0015998840332,22.366396124826398,271.734392133686,182.2688076343804,58.14035000433743,0.07383593275375694
237.45399475097656,227.26800537109375,40783700,224.48300170898438,245.95700073242188,-0.046010344481269505,229.11228724888392,241.00566558837892,314.64281056722007,229.4598503112793,19.18469171014452,267.82923373156837,191.09046689099026,55.284306373883474,0.07350320582762725
227.51100158691406,226.85299682617188,26594300,221.11300659179688,230.05799865722656,-0.001826075536872085,228.10343061174666,239.41829884847004,313.2823993259006,230.31030044555663,18.63859053771536,267.58748152098735,193.03311937012592,49.98379498156876,0.07309118966939109
227.6649932861328,217.11099243164062,22516400,214.72500610351562,239.40499877929688,-0.042944129153365984,225.76028660365515,237.1156987508138,311.8901324801975,230.76100006103516,18.176434288351754,267.1138686377387,194.40813148433165,44.139032547136466,0.07289155640985252
216.92300415039062,222.26600646972656,24435300,216.23199462890625,230.50999450683594,0.023743680503459652,225.16614423479353,234.7133321126302,310.5209991455078,231.9113006591797,16.74995717387371,265.41121500692714,198.41138631143227,46.305723694840374,0.07281844117182729
222.63299560546875,227.75399780273438,21604200,222.60699462890625,230.2989959716797,0.02469109613374587,226.63614327566964,232.86016540527345,309.0153323703342,232.78205032348632,16.005616362660717,264.7932830488078,200.77081759816488,42.51160806949203,0.07279779643747654
227.6929931640625,223.41200256347656,17145200,221.07699584960938,229.43800354003906,-0.01906440844572377,226.12757219587053,230.62696584065756,307.4207544962565,233.20960083007813,15.61105013186597,264.4317010938101,201.9875005663462,38.57515442058772,0.07262593087032679
223.38900756835938,220.11000061035156,27791300,217.0189971923828,223.9770050048828,-0.01477987715627238,223.53914315359933,228.8040995279948,305.78092108832465,233.64935073852538,15.076561324137083,263.80247338679953,203.4962280902512,27.034149484620713,0.07208965764524972
220.28199768066406,219.83900451660156,21115100,215.33200073242188,221.8070068359375,-0.0012311848303054873,222.4778573172433,227.2767328898112,303.51734330919055,233.29645080566405,15.323514822395847,263.94348045045575,202.64942116087235,29.504378953216673,0.07188996083736368
219.73199462890625,219.18499755859375,17201900,218.07400512695312,223.406005859375,-0.0029749359511789253,221.38242885044642,225.65636647542317,301.27789900037976,232.585400390625,15.644742315604127,263.8748850218333,201.29591575941674,40.5024148695754,0.0718561416000162
219.20799255371094,221.76400756835938,15206200,217.61399841308594,222.19900512695312,0.011766361924821833,222.0471452985491,225.5198003133138,299.321743604872,232.02965087890624,15.830085402385093,263.6898216836764,200.36948007413605,42.63136760420829,0.06585560534178873
221.968994140625,235.427001953125,42744400,221.26199340820312,240.25900268554688,0.061610513511999754,223.92728751046317,227.43060048421225,297.7583436754015,231.40865097045898,15.41510044456537,262.2388518595897,200.57845008132824,55.21564629350557,0.053018838326898875
235.5279998779297,257.3210144042969,49732500,235.5279998779297,259.8080139160156,0.09299703207166998,228.1511470249721,229.01316782633464,296.3076661851671,231.58880157470702,15.707818115294305,263.00443780529565,200.17316534411842,70.08293602923482,0.045478862658953983
257.5069885253906,234.8249969482422,56552400,227.6840057373047,265.6109924316406,-0.08742394206758974,229.78157479422433,229.9041010538737,294.612299601237,229.65640182495116,12.289232837006987,254.23486749896514,205.07793615093718,53.498958716891195,0.04863096506406405
234.8249969482422,233.84300231933594,28153700,229.02200317382812,239.52099609375,-0.004181814720187971,231.7434321812221,231.05686798095704,293.0416885375977,228.1748016357422,9.457401659010984,247.08960495376417,209.25999831772023,47.848819152208385,0.04783316032311689
233.4219970703125,243.61000061035156,27363100,232.31399536132812,245.77499389648438,0.04176733190278581,235.13928876604353,232.16590118408203,291.52007751464845,228.65955200195313,10.000006277653675,248.65956455726047,208.6595394466458,58.110167649715926,0.047407917886951645
243.77999877929688,236.3260040283203,25200800,232.33999633789062,244.25100708007812,-0.02990023629482208,237.58800397600447,232.88140157063802,290.1699220445421,228.8002021789551,10.091229283331248,248.98266074561758,208.6177436122926,54.40117647709368,0.04775603181891114
236.41000366210938,240.2830047607422,18270500,235.5919952392578,242.6719970703125,0.016743822791281504,240.23357500348772,233.8470016479492,288.9414221869575,229.49310226440429,10.39087715814271,250.27485658068971,208.71134794811886,61.37734227677057,0.047642532717640663
240.25100708007812,243.7790069580078,23876700,239.2989959716797,247.1009979248047,0.014549519225243168,241.42671857561385,234.40973510742188,287.72874433729385,230.8088523864746,10.453405757809252,251.7156639020931,209.9020408708561,60.737707290249766,0.04590879643073177
243.7519989013672,244.53399658203125,12284200,243.1840057373047,255.32000732421875,0.003097024774383117,239.6000017438616,234.78066813151042,286.3616443210178,231.68695220947265,10.844443420037662,253.37583904954798,209.99806536939732,58.79067698734175,0.04566026695320729
244.54400634765625,235.9770050048828,19527000,233.8509979248047,246.39199829101562,-0.03499305494022753,239.7645743233817,234.8839350382487,284.7958221435547,231.5743522644043,10.784466525002465,253.14328531440924,210.00541921439935,56.304123548756245,0.04616795550772331
235.9949951171875,238.89199829101562,16400000,232.42100524902344,240.10899353027344,0.012352870086102197,240.48585946219308,234.58543497721354,283.2796444363064,232.1555519104004,10.853175876659112,253.8619036637186,210.44920015708217,59.46005685116832,0.04468207822655809
238.9980010986328,238.73500061035156,14200400,236.40199279785156,239.9010009765625,-0.0006571910394118641,239.78943089076452,234.08600158691405,281.8392556084527,232.74965209960936,10.872829631366866,254.4953113623431,211.00399283687563,59.5284173308416,0.04445279066062717
